Model,Accuracy,Precision,Recall,F1 Score
Multinomial Naive Bayes,0.9670861568247822,1.0,0.7404580152671756,0.8508771929824561
Logistic Regression,0.9515972894482091,0.945054945054945,0.6564885496183206,0.7747747747747747
Linear SVM,0.9845111326234269,0.9752066115702479,0.9007633587786259,0.9365079365079365
