Model,MAE,RMSE,R2 Score
Linear Regression,167741.83781811383,262514.04630607297,0.6859436668799279
Random Forest,74173.7542991278,123927.55632276683,0.9300096386662432
Gradient Boosting,83507.62401061223,131583.49816789478,0.9210948555154582
